F1,F2,F3,Target
-6.23,-0.060481298,-0.35530894,A
-26,-3.425764646,-20.12530894,A
0.323,1.054981615,6.19769106,A
-21.1,-2.591678232,-15.22530894,A
2.86,1.486834111,8.73469106,A
18,4.063990909,23.87469106,A
42.4,8.217400807,48.27469106,A
54.1,10.2089949,59.97469106,A
-31.3,-4.327939747,-25.42530894,A
-5.31,0.096122682,0.56469106,A
-3.08,0.475717111,2.79469106,A
15.6,3.655458788,21.47469106,A
25.7,5.374698131,31.57469106,A
24.6,5.187454242,30.47469106,A
2.38,1.405127687,8.25469106,A
2.61,1.444278682,8.48469106,A
-35.5,-5.042870959,-29.62530894,A
13.6,3.315015353,19.47469106,A
5.34,1.90898397,11.21469106,A
-21.7,-2.693811262,-15.82530894,A
7.9,2.344751566,13.77469106,A
7.47,2.271556227,13.34469106,A
-12.4,-1.110749293,-6.52530894,A
-6.15,-0.046863561,-0.27530894,A
-9.93,-0.690301651,-4.05530894,A
20.2,4.438478687,26.07469106,A
-12.3,-1.093727121,-6.42530894,A
39.2,7.672691313,45.07469106,A
-8.75,-0.489440025,-2.87530894,A
-49.8,-7.477041514,-43.92530894,A
-11.9,-1.025638434,-6.02530894,A
20.6,4.506567373,26.47469106,A
24.3,5.136387727,30.17469106,A
36.3,7.179048333,42.17469106,A
-19.7,-2.353367828,-13.82530894,A
2.27,1.386403298,8.14469106,A
-11.8,-1.008616262,-5.92530894,A
30.4,6.174740202,36.27469106,A
-47.7,-7.119575908,-41.82530894,A
5.64,1.960050485,11.51469106,A
3.51,1.597478227,9.38469106,A
-2.45,0.582956793,3.42469106,A
-70.2,-10.94956454,-64.32530894,A
-13.6,-1.315015353,-7.72530894,A
11.2,2.906483232,17.07469106,A
-32.4,-4.515183636,-26.52530894,A
-6.57,-0.118356682,-0.69530894,A
-10.2,-0.736261515,-4.32530894,A
-8.6,-0.463906768,-2.72530894,A
-11.8,-1.008616262,-5.92530894,A
-26.9,-3.578964192,-21.02530894,A
-29.9,-4.089629343,-24.02530894,A
7.22,2.229000798,13.09469106,A
-33.2,-4.65136101,-27.32530894,A
26.9,5.578964192,32.77469106,A
10.1,2.719239343,15.97469106,A
31.4,6.344961919,37.27469106,A
-5.66,0.036545081,0.21469106,A
4.75,1.808553156,10.62469106,A
5.87,1.99920148,11.74469106,A
-39,-5.638646969,-33.12530894,A
-19.8,-2.37039,-13.92530894,A
0.765,1.130219614,6.63969106,A
-14.6,-1.48523707,-8.72530894,A
38.2,7.502469595,44.07469106,A
8.19,2.394115864,14.06469106,A
-3.34,0.431459465,2.53469106,A
16.5,3.808658333,22.37469106,A
-19.9,-2.387412171,-14.02530894,A
-37.1,-5.315225707,-31.22530894,A
34.9,6.940737929,40.77469106,A
35.2,6.991804444,41.07469106,A
19.7,4.353367828,25.57469106,A
-16.1,-1.740569646,-10.22530894,A
-3.56,0.394010687,2.31469106,A
-18.2,-2.098035252,-12.32530894,A
-26.6,-3.527897676,-20.72530894,A
-14.7,-1.502259242,-8.82530894,A
2.65,1.45108755,8.52469106,A
-18.5,-2.149101767,-12.62530894,A
-32.6,-4.549227979,-26.72530894,A
4.84,1.823873111,10.71469106,A
-8.39,-0.428160207,-2.51530894,A
-60.3,-9.264369545,-54.42530894,A
22.8,4.881055151,28.67469106,A
-55.1,-8.379216615,-49.22530894,A
12.7,3.161815808,18.57469106,A
-1.79,0.695303126,4.08469106,A
-26.8,-3.56194202,-20.92530894,A
-26.9,-3.578964192,-21.02530894,A
-2.58,0.56082797,3.29469106,A
18,4.063990909,23.87469106,A
3.97,1.675780217,9.84469106,A
-5.59,0.048460601,0.28469106,A
12.4,3.110749293,18.27469106,A
-20.3,-2.455500858,-14.42530894,A
-18.8,-2.200168283,-12.92530894,A
-40.2,-5.84291303,-34.32530894,A
32.4,6.515183636,38.27469106,A
-21.5,-2.659766919,-15.62530894,A
13.7,3.332037525,19.57469106,A
-4.64,0.210171232,1.23469106,A
-39.4,-5.706735656,-33.52530894,A
0.768,1.130730279,6.64269106,A
30.4,6.174740202,36.27469106,A
-16.7,-1.842702677,-10.82530894,A
-16.8,-1.859724848,-10.92530894,A
8.58,2.460502333,14.45469106,A
-3.34,0.431459465,2.53469106,A
-50.1,-7.52810803,-44.22530894,A
7.89,2.343049348,13.76469106,A
15.1,3.570347929,20.97469106,A
-12,-1.042660606,-6.12530894,A
47.3,9.051487222,53.17469106,A
-91.2,-14.5242206,-85.32530894,A
-26.7,-3.544919848,-20.82530894,A
20.3,4.455500858,26.17469106,A
