F1,Target
-6.23,A
-26,A
0.323,A
-21.1,A
2.86,A
18,A
42.4,A
54.1,A
-31.3,A
-5.31,A
-3.08,A
15.6,A
25.7,A
24.6,A
2.38,A
2.61,A
-35.5,A
13.6,A
5.34,A
-21.7,A
7.9,A
7.47,A
-12.4,A
-6.15,A
-9.93,A
20.2,A
-12.3,A
39.2,A
-8.75,A
-49.8,A
-11.9,A
20.6,A
24.3,A
36.3,A
-19.7,A
2.27,A
-11.8,A
30.4,A
-47.7,A
5.64,A
3.51,A
-2.45,A
-70.2,A
-13.6,A
11.2,A
-32.4,A
-6.57,A
-10.2,A
-8.6,A
-11.8,A
-26.9,A
-29.9,A
7.22,A
-33.2,A
26.9,A
10.1,A
31.4,A
-5.66,A
4.75,A
5.87,A
-39,A
-19.8,A
0.765,A
-14.6,A
38.2,A
8.19,A
-3.34,A
16.5,A
-19.9,A
-37.1,A
34.9,A
35.2,A
19.7,A
-16.1,A
-3.56,A
-18.2,A
-26.6,A
-14.7,A
2.65,A
-18.5,A
-32.6,A
4.84,A
-8.39,A
-60.3,A
22.8,A
-55.1,A
12.7,A
-1.79,A
-26.8,A
-26.9,A
-2.58,A
18,A
3.97,A
-5.59,A
12.4,A
-20.3,A
-18.8,A
-40.2,A
32.4,A
-21.5,A
13.7,A
-4.64,A
-39.4,A
0.768,A
30.4,A
-16.7,A
-16.8,A
8.58,A
-3.34,A
-50.1,A
7.89,A
15.1,A
-12,A
47.3,A
-91.2,A
-26.7,A
20.3,A
-75.5,A
7.56,A
53.3,A
-3.81,A
-96.9,A
10.6,A
-28.9,A
-1.52,A
-65.6,A
23.4,A
-19.8,A
29.1,A
9.07,A
-4.95,A
-30.5,A
29.5,A
9.48,A
-11,A
28.2,A
-47.1,A
-2.41,A
-23.7,A
-3.31,A
11.3,A
11.4,A
23.5,A
-7.36,A
-44.5,A
-10.5,A
47.2,A
-18.7,A
-59.4,A
49.8,A
3.94,A
-36.7,A
-44.9,A
-53.8,A
9.39,A
