F1,Target
-1.32E-08,G
-5.12E-09,G
-1.41E-08,G
2.09E-09,G
-6.04E-09,G
-5.08E-09,G
-5.58E-09,G
2.55E-09,G
-1.35E-08,G
-1.35E-08,G
-5.26E-09,G
-1.37E-08,G
-1.35E-08,G
-1.42E-08,G
-2.32E-08,G
-1.53E-08,G
-7.18E-09,G
-2.29E-08,G
-2.27E-08,G
-2.32E-08,G
-6.02E-09,G
-2.13E-08,G
-1.40E-08,G
-5.37E-09,G
-4.66E-09,G
-3.72E-09,G
4.35E-09,G
-3.79E-09,G
-4.27E-09,G
3.76E-09,G
1.19E-08,G
3.93E-09,G
-2.04E-08,G
-4.32E-09,G
-4.89E-09,G
3.21E-09,G
-4.47E-09,G
-5.00E-09,G
-4.90E-09,G
-4.62E-09,G
-5.11E-09,G
-5.14E-09,G
-1.34E-08,G
-1.41E-08,G
-6.04E-09,G
-1.33E-08,G
-4.77E-09,G
-4.55E-09,G
-2.05E-08,G
-4.37E-09,G
-1.21E-08,G
-1.32E-08,G
-2.12E-08,G
-5.78E-09,G
-1.37E-08,G
-5.96E-09,G
-1.33E-08,G
-2.14E-08,G
-2.09E-08,G
-1.30E-08,G
-2.93E-08,G
-1.36E-08,G
-2.94E-08,G
-1.32E-08,G
-5.67E-09,G
-1.35E-08,G
-4.71E-09,G
-4.63E-09,G
-1.32E-08,G
-5.81E-09,G
-1.31E-08,G
-1.30E-08,G
-1.41E-08,G
-1.45E-08,G
-5.98E-09,G
-5.71E-09,G
-5.75E-09,G
-6.17E-09,G
-3.83E-08,G
-3.85E-08,G
-3.86E-08,G
-3.08E-08,G
-4.00E-08,G
-1.55E-08,G
-2.99E-08,G
-3.81E-08,G
-4.64E-08,G
-2.99E-08,G
-3.84E-08,G
-3.94E-08,G
-3.17E-08,G
-3.90E-08,G
-4.00E-08,G
-4.75E-08,G
-3.10E-08,G
-3.17E-08,G
-3.10E-08,G
-3.07E-08,G
-4.69E-08,G
-4.70E-08,G
-3.90E-08,G
-4.76E-08,G
-2.36E-08,G
-3.16E-08,G
-3.07E-08,G
-3.85E-08,G
-3.14E-08,G
-2.39E-08,G
9.05E-10,G
-1.52E-08,G
-1.42E-08,G
-3.87E-08,G
-3.88E-08,G
-3.82E-08,G
-5.49E-08,G
-2.24E-08,G
-1.48E-08,G
-4.69E-08,G
-3.88E-08,G
-4.68E-08,G
-3.98E-08,G
-3.94E-08,G
-1.55E-08,G
-3.14E-08,G
-2.26E-08,G
-3.00E-08,G
-3.93E-08,G
-3.16E-08,G
-3.07E-08,G
-2.29E-08,G
-2.37E-08,G
-2.34E-08,G
-2.29E-08,G
-1.51E-08,G
-7.34E-09,G
-1.45E-08,G
-2.28E-08,G
-3.14E-08,G
-2.35E-08,G
-3.16E-08,G
-3.11E-08,G
-3.15E-08,G
-3.09E-08,G
-3.90E-08,G
-2.36E-08,G
-2.34E-08,G
-4.67E-08,G
-3.13E-08,G
-1.59E-08,G
-2.48E-08,G
-2.45E-08,G
-3.22E-08,G
-2.36E-08,G
-1.62E-08,G
8.21E-09,G
-1.62E-08,G
-1.62E-08,G
-1.67E-08,G
-1.65E-08,G
-8.37E-09,G
7.49E-09,G
-2.96E-10,G
-8.54E-10,G
-8.42E-09,G
-7.04E-10,G
-9.14E-10,G
2.36E-08,G
1.57E-08,G
1.49E-08,G
6.89E-09,G
7.32E-09,G
-6.61E-11,G
1.58E-08,G
2.43E-08,G
-7.81E-09,G
-5.44E-10,G
4.11E-10,G
7.97E-09,G
7.39E-09,G
2.42E-08,G
2.40E-08,G
7.56E-09,G
2.40E-08,G
3.98E-08,G
1.57E-08,G
2.36E-08,G
3.21E-08,G
2.43E-08,G
7.97E-09,G
7.12E-09,G
-8.34E-09,G
-3.10E-10,G
1.76E-10,G
4.97E-10,G
1.09E-10,G
-1.04E-10,G
3.65E-10,G
8.18E-09,G
-8.12E-10,G
6.74E-09,G
-8.28E-10,G
-3.04E-10,G
1.67E-08,G
8.18E-09,G
7.27E-09,G
