F1,F2,F3,F4,F5,F6,F7,F8,label
-3.40E-09,1,-0.278522922,4.55E-11,1.52E-10,2.48E-10,2.82E-10,5.58E-10,T
8.93E-09,1,0.731532262,-5.73E-11,1.52E-10,1.45E-10,3.84E-10,4.55E-10,T
8.35E-09,1,0.684019528,-5.25E-11,1.52E-10,1.50E-10,3.80E-10,4.60E-10,T
2.14E-09,1,0.175305604,-7.08E-13,1.52E-10,2.01E-10,3.28E-10,5.11E-10,T
-4.13E-09,1,-0.338323431,5.15E-11,1.52E-10,2.54E-10,2.76E-10,5.64E-10,T
-1.72E-09,1,-0.140899831,3.15E-11,1.52E-10,2.34E-10,2.96E-10,5.44E-10,T
-4.83E-09,1,-0.395666386,5.74E-11,1.52E-10,2.59E-10,2.70E-10,5.69E-10,T
-1.98E-09,1,-0.162198643,3.36E-11,1.52E-10,2.36E-10,2.94E-10,5.46E-10,T
-1.70E-09,1,-0.139261461,3.13E-11,1.52E-10,2.33E-10,2.96E-10,5.43E-10,T
7.72E-09,1,0.632410869,-4.72E-11,1.52E-10,1.55E-10,3.74E-10,4.65E-10,T
1.52E-09,1,0.12451613,4.46E-12,1.52E-10,2.07E-10,3.23E-10,5.17E-10,T
1.67E-09,1,0.136803906,3.21E-12,1.52E-10,2.05E-10,3.24E-10,5.15E-10,T
8.19E-09,1,0.670912567,-5.11E-11,1.52E-10,1.51E-10,3.78E-10,4.61E-10,T
-1.62E-09,1,-0.13270798,3.06E-11,1.52E-10,2.33E-10,2.97E-10,5.43E-10,T
-5.18E-09,1,-0.424337863,6.03E-11,1.52E-10,2.62E-10,2.67E-10,5.72E-10,T
4.76E-09,1,0.38993209,-2.25E-11,1.52E-10,1.80E-10,3.50E-10,4.90E-10,T
7.87E-09,1,0.644698645,-4.85E-11,1.52E-10,1.54E-10,3.76E-10,4.64E-10,T
4.17E-09,1,0.341600171,-1.76E-11,1.52E-10,1.84E-10,3.45E-10,4.94E-10,T
3.95E-09,1,0.3235781,-1.58E-11,1.52E-10,1.86E-10,3.43E-10,4.96E-10,T
1.02E-08,1,0.835568765,-6.79E-11,1.52E-10,1.34E-10,3.95E-10,4.44E-10,T
1.36E-08,1,1.114091686,-9.62E-11,1.52E-10,1.06E-10,4.23E-10,4.16E-10,T
